_id,label,hari
662f30138293a679a84699df,without_mask,Wednesday
662f30138293a679a84699e0,without_mask,Wednesday
662f30148293a679a84699e1,without_mask,Wednesday
662f30148293a679a84699e2,without_mask,Wednesday
662f30148293a679a84699e3,without_mask,Wednesday
662f302c5338d198d417b9b3,with_mask,Thursday
662f302d5338d198d417b9b4,with_mask,Thursday
662f302d5338d198d417b9b5,with_mask,Thursday
662f302d5338d198d417b9b6,with_mask,Thursday
662f302d5338d198d417b9b7,with_mask,Thursday
662f302d5338d198d417b9b8,with_mask,Thursday
662f302d5338d198d417b9b9,with_mask,Thursday
662f302d5338d198d417b9ba,with_mask,Thursday
662f302d5338d198d417b9bb,with_mask,Thursday
662f302d5338d198d417b9bc,with_mask,Thursday
662f302e5338d198d417b9bd,with_mask,Thursday
662f302e5338d198d417b9be,with_mask,Thursday
662f302e5338d198d417b9bf,with_mask,Thursday
662f302e5338d198d417b9c0,with_mask,Thursday
662f302e5338d198d417b9c1,with_mask,Thursday
662f302e5338d198d417b9c2,with_mask,Thursday
662f302e5338d198d417b9c3,with_mask,Thursday
662f302e5338d198d417b9c4,with_mask,Thursday
662f302e5338d198d417b9c5,with_mask,Thursday
662f302f5338d198d417b9c6,with_mask,Thursday
662f302f5338d198d417b9c7,with_mask,Thursday
662f302f5338d198d417b9c8,with_mask,Thursday
662f302f5338d198d417b9c9,with_mask,Thursday
662f302f5338d198d417b9ca,with_mask,Thursday
662f302f5338d198d417b9cb,with_mask,Thursday
662f302f5338d198d417b9cc,with_mask,Thursday
662f302f5338d198d417b9cd,with_mask,Thursday
662f302f5338d198d417b9ce,with_mask,Thursday
662f302f5338d198d417b9cf,with_mask,Thursday
662f30305338d198d417b9d0,with_mask,Thursday
662f30305338d198d417b9d1,with_mask,Thursday
662f30305338d198d417b9d2,with_mask,Thursday
662f30305338d198d417b9d3,with_mask,Thursday
662f30305338d198d417b9d4,with_mask,Thursday
662f30305338d198d417b9d5,with_mask,Thursday
662f30305338d198d417b9d6,with_mask,Thursday
662f30305338d198d417b9d7,with_mask,Thursday
662f30305338d198d417b9d8,with_mask,Thursday
662f30315338d198d417b9d9,with_mask,Thursday
662f30315338d198d417b9da,with_mask,Thursday
662f30315338d198d417b9db,with_mask,Thursday
662f30315338d198d417b9dc,without_mask,Thursday
662f30315338d198d417b9dd,without_mask,Thursday
662f30315338d198d417b9de,without_mask,Thursday
662f30325338d198d417b9df,without_mask,Thursday
662f30325338d198d417b9e0,without_mask,Thursday
662f30325338d198d417b9e1,without_mask,Thursday
662f30325338d198d417b9e2,without_mask,Thursday
662f30325338d198d417b9e3,without_mask,Thursday
662f30325338d198d417b9e4,without_mask,Thursday
662f30325338d198d417b9e5,without_mask,Thursday
662f30325338d198d417b9e6,without_mask,Thursday
662f30325338d198d417b9e7,without_mask,Thursday
662f30325338d198d417b9e8,without_mask,Thursday
662f30335338d198d417b9e9,without_mask,Thursday
662f30335338d198d417b9ea,without_mask,Thursday
662f30335338d198d417b9eb,without_mask,Thursday
662f30335338d198d417b9ec,without_mask,Thursday
662f30335338d198d417b9ed,without_mask,Thursday
662f30335338d198d417b9ee,without_mask,Thursday
662f30335338d198d417b9ef,without_mask,Thursday
662f30335338d198d417b9f0,without_mask,Thursday
662f30335338d198d417b9f1,without_mask,Thursday
662f30345338d198d417b9f2,without_mask,Thursday
662f30345338d198d417b9f3,without_mask,Thursday
662f30345338d198d417b9f4,without_mask,Thursday
662f30345338d198d417b9f5,without_mask,Thursday
662f30345338d198d417b9f6,without_mask,Thursday
662f30345338d198d417b9f7,without_mask,Thursday
662f30345338d198d417b9f8,without_mask,Thursday
662f30345338d198d417b9f9,without_mask,Thursday
662f3045f8348e3fdbf80f37,with_mask,Friday
662f3046f8348e3fdbf80f38,with_mask,Friday
662f3046f8348e3fdbf80f39,with_mask,Friday
662f3046f8348e3fdbf80f3a,with_mask,Friday
662f3046f8348e3fdbf80f3b,with_mask,Friday
662f3046f8348e3fdbf80f3c,with_mask,Friday
662f3046f8348e3fdbf80f3d,with_mask,Friday
662f3047f8348e3fdbf80f3e,with_mask,Friday
662f3047f8348e3fdbf80f3f,with_mask,Friday
662f3047f8348e3fdbf80f40,with_mask,Friday
662f3047f8348e3fdbf80f41,with_mask,Friday
662f3047f8348e3fdbf80f42,with_mask,Friday
662f3047f8348e3fdbf80f43,with_mask,Friday
662f3047f8348e3fdbf80f44,with_mask,Friday
662f3047f8348e3fdbf80f45,with_mask,Friday
662f3047f8348e3fdbf80f46,with_mask,Friday
662f3047f8348e3fdbf80f47,with_mask,Friday
662f3048f8348e3fdbf80f48,with_mask,Friday
662f3048f8348e3fdbf80f49,with_mask,Friday
662f3048f8348e3fdbf80f4a,with_mask,Friday
662f3048f8348e3fdbf80f4b,with_mask,Friday
662f3048f8348e3fdbf80f4c,with_mask,Friday
662f3048f8348e3fdbf80f4d,with_mask,Friday
662f3048f8348e3fdbf80f4e,with_mask,Friday
662f3048f8348e3fdbf80f4f,with_mask,Friday
662f3048f8348e3fdbf80f50,with_mask,Friday
662f3048f8348e3fdbf80f51,with_mask,Friday
662f3049f8348e3fdbf80f52,with_mask,Friday
662f3049f8348e3fdbf80f53,with_mask,Friday
662f3049f8348e3fdbf80f54,with_mask,Friday
662f3049f8348e3fdbf80f55,with_mask,Friday
662f3049f8348e3fdbf80f56,with_mask,Friday
662f3049f8348e3fdbf80f57,with_mask,Friday
662f3049f8348e3fdbf80f58,with_mask,Friday
662f3049f8348e3fdbf80f59,with_mask,Friday
662f3049f8348e3fdbf80f5a,with_mask,Friday
662f3049f8348e3fdbf80f5b,with_mask,Friday
662f304af8348e3fdbf80f5c,with_mask,Friday
662f304af8348e3fdbf80f5d,with_mask,Friday
662f304af8348e3fdbf80f5e,with_mask,Friday
662f304af8348e3fdbf80f5f,with_mask,Friday
662f304af8348e3fdbf80f60,with_mask,Friday
662f304af8348e3fdbf80f61,with_mask,Friday
662f304af8348e3fdbf80f62,with_mask,Friday
662f304af8348e3fdbf80f63,with_mask,Friday
662f304af8348e3fdbf80f64,with_mask,Friday
662f304bf8348e3fdbf80f65,with_mask,Friday
662f304bf8348e3fdbf80f66,with_mask,Friday
662f304bf8348e3fdbf80f67,with_mask,Friday
662f304bf8348e3fdbf80f68,with_mask,Friday
662f304bf8348e3fdbf80f69,with_mask,Friday
662f304bf8348e3fdbf80f6a,with_mask,Friday
662f304bf8348e3fdbf80f6b,with_mask,Friday
662f304bf8348e3fdbf80f6c,with_mask,Friday
662f304bf8348e3fdbf80f6d,with_mask,Friday
662f304bf8348e3fdbf80f6e,with_mask,Friday
662f304cf8348e3fdbf80f6f,with_mask,Friday
662f304cf8348e3fdbf80f70,without_mask,Friday
662f304cf8348e3fdbf80f71,without_mask,Friday
662f304cf8348e3fdbf80f72,without_mask,Friday
662f304cf8348e3fdbf80f73,without_mask,Friday
662f304cf8348e3fdbf80f74,without_mask,Friday
662f304cf8348e3fdbf80f75,without_mask,Friday
662f304cf8348e3fdbf80f76,without_mask,Friday
662f304cf8348e3fdbf80f77,without_mask,Friday
662f304cf8348e3fdbf80f78,without_mask,Friday
662f304df8348e3fdbf80f79,without_mask,Friday
662f304df8348e3fdbf80f7a,without_mask,Friday
662f304df8348e3fdbf80f7b,without_mask,Friday
662f304df8348e3fdbf80f7c,without_mask,Friday
662f304df8348e3fdbf80f7d,without_mask,Friday
662f304df8348e3fdbf80f7e,without_mask,Friday
662f304df8348e3fdbf80f7f,without_mask,Friday
662f304df8348e3fdbf80f80,without_mask,Friday
662f304df8348e3fdbf80f81,without_mask,Friday
662f304df8348e3fdbf80f82,without_mask,Friday
662f304ef8348e3fdbf80f83,without_mask,Friday
662f304ef8348e3fdbf80f84,without_mask,Friday
662f304ef8348e3fdbf80f85,without_mask,Friday
662f304ef8348e3fdbf80f86,without_mask,Friday
662f304ef8348e3fdbf80f87,without_mask,Friday
662f304ef8348e3fdbf80f88,without_mask,Friday
662f304ef8348e3fdbf80f89,without_mask,Friday
662f304ef8348e3fdbf80f8a,without_mask,Friday
662f304ef8348e3fdbf80f8b,without_mask,Friday
662f304ef8348e3fdbf80f8c,without_mask,Friday
662f304ff8348e3fdbf80f8d,without_mask,Friday
662f304ff8348e3fdbf80f8e,without_mask,Friday
662f304ff8348e3fdbf80f8f,without_mask,Friday
662f304ff8348e3fdbf80f90,without_mask,Friday
662f304ff8348e3fdbf80f91,without_mask,Friday
663883219af9e7653ee9508d,without_mask,Friday
663883219af9e7653ee9508e,without_mask,Friday
663883219af9e7653ee9508f,without_mask,Friday
663883219af9e7653ee95090,without_mask,Friday
663883219af9e7653ee95091,without_mask,Friday
663883229af9e7653ee95092,without_mask,Friday
663883229af9e7653ee95093,without_mask,Friday
663883229af9e7653ee95094,without_mask,Friday
663883229af9e7653ee95095,without_mask,Friday
663883229af9e7653ee95096,without_mask,Friday
663883229af9e7653ee95097,without_mask,Friday
663883229af9e7653ee95098,without_mask,Friday
663883239af9e7653ee95099,without_mask,Friday
663883239af9e7653ee9509a,without_mask,Friday
663883239af9e7653ee9509b,without_mask,Friday
663883239af9e7653ee9509c,without_mask,Friday
663883239af9e7653ee9509d,without_mask,Friday
663883239af9e7653ee9509e,without_mask,Friday
663883239af9e7653ee9509f,without_mask,Friday
663883239af9e7653ee950a0,without_mask,Friday
663883239af9e7653ee950a1,without_mask,Friday
663883249af9e7653ee950a2,without_mask,Friday
663883249af9e7653ee950a3,without_mask,Friday
663883249af9e7653ee950a4,without_mask,Friday
663883249af9e7653ee950a5,without_mask,Friday
663883249af9e7653ee950a6,without_mask,Friday
663883249af9e7653ee950a7,without_mask,Friday
66388f041c2e2570878f2a0a,with_mask,Monday
66388f051c2e2570878f2a0b,with_mask,Monday
66388f051c2e2570878f2a0c,with_mask,Monday
66388f051c2e2570878f2a0d,with_mask,Monday
66388f061c2e2570878f2a0e,with_mask,Monday
66388f061c2e2570878f2a0f,with_mask,Monday
66388f061c2e2570878f2a10,with_mask,Monday
66388f061c2e2570878f2a11,with_mask,Monday
66388f061c2e2570878f2a12,with_mask,Monday
66388f061c2e2570878f2a13,with_mask,Monday
66388f061c2e2570878f2a14,with_mask,Monday
66388f061c2e2570878f2a15,with_mask,Monday
66388f071c2e2570878f2a16,with_mask,Monday
66388f071c2e2570878f2a17,with_mask,Monday
66388f071c2e2570878f2a18,with_mask,Monday
66388f071c2e2570878f2a19,with_mask,Monday
66388f0a1c2e2570878f2a1a,with_mask,Monday
66388f0a1c2e2570878f2a1b,with_mask,Monday
66388f0a1c2e2570878f2a1c,with_mask,Monday
66388f0a1c2e2570878f2a1d,with_mask,Monday
66388f0a1c2e2570878f2a1e,with_mask,Monday
